AccountId,SubTotal,Address,Phone,Status,CreatedDate
9,1710,440 Tennyson Place,86-(131)497-7419,TRUE,2015-09-01T09:18:26Z
2,2385,24 Sunfield Way,380-(968)901-4990,TRUE,2015-09-04T09:38:20Z
2,5425,5 Petterle Way,7-(726)591-9426,TRUE,2015-09-08T10:57:07Z
6,500,52223 Corben Way,86-(868)123-0274,TRUE,2015-09-09T07:18:43Z
4,5210,76609 Roth Terrace,353-(253)110-2234,TRUE,2015-09-10T01:59:57Z
9,2500,2426 Sherman Terrace,66-(371)920-3042,TRUE,2015-09-12T14:53:24Z
2,5510,50 Hagan Avenue,62-(102)858-3064,TRUE,2015-09-14T09:34:44Z
10,2850,7 Doe Crossing Alley,375-(595)861-5555,TRUE,2015-09-15T06:07:24Z
8,3630,71436 Quincy Plaza,46-(852)814-5726,TRUE,2015-09-17T03:46:36Z
4,3025,3 Bellgrove Trail,62-(370)197-6750,TRUE,2015-09-17T16:04:07Z
9,4265,90809 Fieldstone Center,63-(231)593-2051,TRUE,2015-09-18T19:32:03Z
5,3870,306 Golden Leaf Parkway,86-(392)800-5923,TRUE,2015-09-20T01:56:17Z
5,3195,2 Basil Hill,66-(238)854-1450,TRUE,2015-09-20T02:20:39Z
2,4825,94 Jana Point,86-(442)866-5636,TRUE,2015-09-20T06:20:14Z
2,4865,08869 Towne Avenue,62-(261)592-2630,TRUE,2015-09-20T20:27:26Z
6,2265,7 Prentice Circle,229-(103)984-2888,TRUE,2015-09-21T23:31:28Z
10,5845,48717 Quincy Hill,850-(559)307-2889,TRUE,2015-09-23T13:27:12Z
2,4085,407 7th Junction,7-(667)569-3456,TRUE,2015-09-24T13:26:53Z
6,7355,3032 Mockingbird Center,33-(804)758-9519,TRUE,2015-09-24T15:06:56Z
6,5580,802 Roxbury Terrace,55-(611)361-8030,TRUE,2015-09-26T07:04:56Z
10,5995,548 Fulton Terrace,351-(932)448-5680,TRUE,2015-09-26T23:40:52Z
8,5340,088 Sachs Parkway,86-(557)574-5027,TRUE,2015-09-28T13:59:32Z
5,3750,810 Main Place,351-(225)255-2917,TRUE,2015-09-29T22:11:20Z
2,4220,20517 Westridge Junction,58-(257)254-6036,TRUE,2015-10-01T20:15:40Z
9,1875,328 Fairview Court,1-(400)257-8225,TRUE,2015-10-01T21:16:50Z
8,3190,2 Old Shore Drive,351-(776)751-5970,TRUE,2015-10-03T04:31:17Z
7,760,6687 Petterle Junction,55-(323)189-2082,TRUE,2015-10-05T00:20:31Z
2,6220,849 Buena Vista Trail,48-(997)657-2909,TRUE,2015-10-05T04:19:15Z
8,2300,1 Starling Plaza,51-(667)368-6330,TRUE,2015-10-06T19:42:41Z
7,7515,1743 Pierstorff Junction,66-(156)136-0413,TRUE,2015-10-07T05:27:30Z
3,4005,191 Merry Crossing,7-(133)526-8601,TRUE,2015-10-09T18:35:30Z
2,5645,22799 Loomis Circle,855-(270)854-8369,TRUE,2015-10-11T18:05:29Z
4,5825,3101 Holmberg Park,62-(703)402-0178,TRUE,2015-10-13T22:08:45Z
3,1255,89 Myrtle Point,86-(952)656-7520,TRUE,2015-10-15T07:24:02Z
